Vertex,Label,CommunityID,BridgingStrength,ConnectedCommunities
4,DavidsonGomes,3,17.105263,25
605,dpaes,8,8.750000,14
317,gkp1,26,6.206897,10
29,TiagoGouvea,10,6.160000,11
247,MattCarneiro,10,5.400000,9
461,sluy,14,5.333333,8
627,natanlopes01,5,5.000000,8
1938,sourcery-ai[bot],4,4.704918,14
774,ddavid-almeida,4,4.666667,7
1566,VRAutomatize,18,4.666667,14
464,KokeroO,10,4.500000,6
601,Vitordotpy,5,4.307692,7
859,iamedusm,9,4.285714,5
130,BezzerraJr,4,4.166667,5
434,DanielSilvaol,4,4.062500,10
467,juniortopanotti,5,4.000000,4
540,pontedigital1,5,4.000000,4
888,edusachs,9,4.000000,4
1014,willianbsb,62,4.000000,6
231,yuri12344,11,3.750000,5
88,marlonvinicius,14,3.428571,4
117,luiscorsog,13,3.428571,4
190,Davi-AMF,26,3.333333,4
1025,vinicin7,0,3.294118,7
49,juniorerivaldo,16,3.200000,4
1783,Arenaz3,18,3.181818,5
456,michaelvips,0,3.076923,5
74,maestropsi,20,3.000000,3
102,hlspablo,26,3.000000,3
284,uzieljr,15,3.000000,3
288,danielkv,26,3.000000,3
318,allan-outside,13,3.000000,3
441,JefersonRamos,0,3.000000,3
472,jjmmbb,18,3.000000,3
572,rillerqueiroz,13,3.000000,3
582,vinicius-acruz,7,3.000000,3
728,dylanoli,23,3.000000,3
1000,Kaique-Grigoletto,5,3.000000,6
1009,pedroramosuerj,23,3.000000,3
1148,drauber,23,3.000000,3
1213,diogodomanski,0,3.000000,3
1241,muava12,8,3.000000,3
1303,grupojr7,15,3.000000,3
1446,jrvidotti,11,3.000000,3
489,danielvieirabrwo,5,2.857143,4
64,VitorS0uza,22,2.722222,7
263,luispimenta,8,2.666667,4
411,jonathanpog98,0,2.666667,4
455,JeandersonR2,3,2.666667,4
523,avaleadoficial,22,2.666667,4
1044,pess0a,5,2.666667,4
1314,joao-baza,20,2.666667,4
1744,patronotech,15,2.666667,4
857,trojantm,33,2.647059,5
462,cleytoncoro,6,2.625000,6
1098,InfiniteGear,62,2.571429,6
903,jbenteu,24,2.545455,4
119,viivaz,22,2.500000,5
1110,edisonmartinsmkt,17,2.500000,3
1190,rogeriolixa,13,2.500000,5
751,lokoquax,62,2.400000,6
1130,djgoulart,0,2.400000,3
634,WanderleyGrecco,33,2.400000,4
1325,rcesar,10,2.333333,6
663,Phristyle,20,2.307692,5
315,amacfe-ui,3,2.285714,4
451,abioluz,7,2.285714,4
718,josemiguelq,6,2.285714,4
106,elciogiaretta-ops,17,2.272727,5
298,shorvelyn,8,2.272727,5
1138,prhost,31,2.272727,5
264,ig0rayres,33,2.250000,3
589,pedroSoaresll,6,2.250000,3
631,MatheusCostaVaz,5,2.250000,3
693,Pequem,6,2.250000,3
1008,victorpergher,13,2.250000,3
1168,josemgjunior,13,2.250000,3
1237,halarumdigital,10,2.250000,3
1404,diego-lipinski-de-castro,24,2.250000,3
1521,rhafiko,23,2.250000,3
1614,VitorAf0nso,13,2.250000,3
1723,JVini0166,15,2.250000,3
1830,jeffersonfelixdev,6,2.250000,3
1935,Alex-HC2024,31,2.250000,3
17,orfeubr,8,2.000000,2
37,claudiocastelo,13,2.000000,2
57,hic000,10,2.000000,2
59,eowoosh,16,2.000000,2
71,queirozmat,23,2.000000,2
82,BrianCz-Eng,13,2.000000,2
111,RodrigoRosalin,9,2.000000,2
114,msantosjader,26,2.000000,2
118,noratonegocios-ship-it,14,2.000000,3
124,fvieir,11,2.000000,2
131,dgonzalez211,2,2.000000,2
141,Samukaspc,8,2.000000,2
164,josealissonbr,11,2.000000,2
185,savinnsk,31,2.000000,2
193,rdelphino,16,2.000000,2
196,oademarlima,8,2.000000,2
199,thiagocalixtoo,7,2.000000,2
210,Lucasbrunoferreira,8,2.000000,3
216,Issami96,22,2.000000,2
226,py-danilopontes,22,2.000000,2
265,Miliotte,16,2.000000,2
300,lostmga,0,2.000000,2
302,lobx13,33,2.000000,2
306,luiz10leite-glitch,33,2.000000,2
322,kenneson,16,2.000000,2
395,arthurbrenno,15,2.000000,2
399,kunumigab,4,2.000000,2
430,hernandesbylara,8,2.000000,2
437,luizcw,4,2.000000,3
443,leonardolessa,22,2.000000,2
476,flavianoredressa,23,2.000000,2
505,rodolphoAle,11,2.000000,2
524,fabriciofeijo,5,2.000000,2
534,leoslg,17,2.000000,2
535,davidmnzs,26,2.000000,2
579,caionorder,8,2.000000,3
583,darwingtx,14,2.000000,2
604,mike66888866-beep,18,2.000000,2
614,delattre1,5,2.000000,2
620,ghost,4,2.000000,3
