Vertex,Label,CommunityID
0,mmojadad,0
1,romariormr,0
2,mhhmod,1
3,sokveasnahang-cpu,2
4,DavidsonGomes,3
5,robertoborcem,4
6,p3dr0574,5
7,danirpa,4
8,VoeonAI,6
9,Goulart-SB,5
10,shahrammahadvi,5
11,chagasma,5
12,JhonesSena,2
13,dinesh-suthar-cdp,7
14,gilney-canaltelecom,7
15,sussamgtads,7
16,FelipeBernardesDev,5
17,orfeubr,8
18,reginaldo-machado,7
19,hilsoney1200-dotcom,5
20,UluanRichard,5
21,WhiterBy1,5
22,RoyallGuards,5
23,Mahmoudreda66,7
24,diegoirs23,6
25,NRotili,6
26,mastermailgeral,6
27,YzKencebay,9
28,tectg-solution,6
29,TiagoGouvea,10
30,Header9968,6
31,Luiz-Otavio-Dorigon,11
32,LuizEdgar,12
33,TrolljanO,9
34,modopraiano,9
35,MurilloDanielOfficial,9
36,Darwin-IA-hub,10
37,claudiocastelo,13
38,kunkanon,10
39,asfcarvalho,10
40,studiomarcanti,14
41,pedro-vasconcelos-dev,10
42,braiaagency,10
43,ti613,15
44,Keven-sants,15
45,massilva,15
46,DarkWalking,15
47,juliancesar,15
48,Caiohenrks,15
49,juniorerivaldo,16
50,thiagomishaim,15
51,srmodid,7
52,andersonfelipev,17
53,FernandoBolzan,17
54,Simplobot1,0
55,Dev-Rafhael,17
56,Guilhermesf27,13
57,hic000,10
58,chibancas,18
59,eowoosh,16
60,AdaiasMagdiel,19
61,almirf,20
62,Vialc,20
63,unwarkz,21
64,VitorS0uza,22
65,nicolasbarcellos,14
66,TetoBertolla1,14
67,heydrick1,14
68,JustAtrasado,14
69,wenealves10,14
70,danyllolobo,14
71,queirozmat,23
72,diegobrodr,14
73,Buglessren,14
74,maestropsi,20
75,AlvaroBrasilia,0
76,reisdiegoss,24
77,nolramaf,8
78,jhefersoncrescencio,24
79,ielaineugc,14
80,weblucianosoares-maker,5
81,adrianovictorn,5
82,BrianCz-Eng,13
83,du-medeiros,5
84,Ben-Avrahami,7
85,Bonilhajvv,7
86,gustauobr,7
87,raphael0627f,7
88,marlonvinicius,14
89,lucascampuus,14
90,kasambr,7
91,DanielBelorini,7
92,cristiandigisat-hub,7
93,GustavoCPrado,7
94,elizeufranca,7
95,dujobi-contato,7
96,leonardomnds,7
97,srvelososantos,7
98,willDullius,7
99,LeonardoCostaCTN,25
100,asilvacijun,23
101,fafadexs1,23
102,hlspablo,26
103,DiegoSalvati,0
104,plalebtag,0
105,nadersommer,0
106,elciogiaretta-ops,17
107,AndersonVentin,17
108,leotramanda,17
109,jussimirvfx,17
110,marinaninin,17
111,RodrigoRosalin,9
112,FireGears,17
113,therodmg-source,17
114,msantosjader,26
115,myposty,27
116,GleisonOliveiraAds,14
117,luiscorsog,13
118,noratonegocios-ship-it,14
119,viivaz,22
120,AndreynBastos,14
121,Advfboliveira,14
122,vianahub-pt,0
123,C4stro,0
