Rank,Desenvolvedor,Total,Comentários Issue,Comentários PR,Fechamentos,Reviews,Aprovações,Merges
1,sourcery-ai[bot],458,0,268,0,190,0,0
2,DavidsonGomes,351,21,0,307,1,22,0
3,dpaes,73,53,0,20,0,0,0
4,github-advanced-security[bot],42,0,35,0,7,0,0
5,cleytoncoro,38,38,0,0,0,0,0
6,KokeroO,30,28,1,0,1,0,0
7,TiagoGouvea,30,30,0,0,0,0,0
8,LuisGuilhermeRampaso,24,24,0,0,0,0,0
9,Vitordotpy,22,15,0,0,3,4,0
10,MattCarneiro,20,20,0,0,0,0,0
11,Santosl2,19,19,0,0,0,0,0
12,leandrosroc,18,2,0,0,0,16,0
13,kenneson,17,17,0,0,0,0,0
14,gabrielroger2020,17,17,0,0,0,0,0
15,tasfw,16,16,0,0,0,0,0
16,vinicin7,15,15,0,0,0,0,0
17,gkp1,14,14,0,0,0,0,0
18,michaelvips,14,14,0,0,0,0,0
19,caionorder,12,12,0,0,0,0,0
20,juliancesar,12,12,0,0,0,0,0
21,juniorerivaldo,12,12,0,0,0,0,0
22,ddavid-almeida,12,12,0,0,0,0,0
23,robsonflowers,11,11,0,0,0,0,0
24,VitorS0uza,11,11,0,0,0,0,0
25,pess0a,11,11,0,0,0,0,0
26,p3dr0574,11,11,0,0,0,0,0
27,Daquisu,11,11,0,0,0,0,0
28,machoalfastore01-ai,11,11,0,0,0,0,0
29,ricardozanga,10,10,0,0,0,0,0
30,Srreven,10,10,0,0,0,0,0
