CommunityID,Size,TotalInteractions,COMMENT_ISSUE_pct,COMMENT_PR_pct,ISSUE_CLOSE_pct,PR_REVIEW_pct,PR_APPROVAL_pct,PR_MERGE_pct,DominantType
4,171,365,30.14,40.00,0.00,29.86,0.00,0.00,COMMENT_PR
3,170,205,48.29,0.00,41.46,0.49,9.76,0.00,COMMENT_ISSUE
18,124,154,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
24,107,143,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
7,91,127,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
5,85,118,95.76,0.00,0.00,1.69,2.54,0.00,COMMENT_ISSUE
20,96,115,99.13,0.00,0.00,0.87,0.00,0.00,COMMENT_ISSUE
33,71,113,72.57,21.24,0.00,6.19,0.00,0.00,COMMENT_ISSUE
8,87,112,91.96,0.00,8.04,0.00,0.00,0.00,COMMENT_ISSUE
0,98,107,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
10,87,104,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
6,80,101,99.01,0.00,0.00,0.99,0.00,0.00,COMMENT_ISSUE
62,58,79,98.73,0.00,0.00,0.00,1.27,0.00,COMMENT_ISSUE
16,71,78,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
14,70,77,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
22,75,75,98.67,0.00,0.00,0.00,1.33,0.00,COMMENT_ISSUE
31,48,64,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
11,48,50,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
26,47,49,36.73,12.24,0.00,14.29,36.73,0.00,COMMENT_ISSUE
15,49,48,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
17,43,47,95.74,2.13,0.00,2.13,0.00,0.00,COMMENT_ISSUE
23,44,42,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
13,47,33,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
21,15,13,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
9,16,11,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
67,7,9,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
117,6,8,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
41,4,3,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
64,4,3,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
70,3,3,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
100,3,2,50.00,0.00,0.00,0.00,50.00,0.00,COMMENT_ISSUE
107,2,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
111,3,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
115,3,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
96,3,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
92,3,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
158,2,2,0.00,50.00,0.00,50.00,0.00,0.00,COMMENT_PR
170,2,2,0.00,50.00,0.00,50.00,0.00,0.00,COMMENT_PR
79,3,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
52,2,2,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
81,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
85,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
89,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
90,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
65,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
99,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
102,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
40,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
36,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
2,9,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
30,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
29,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
54,2,1,100.00,0.00,0.00,0.00,0.00,0.00,COMMENT_ISSUE
