Rank,Desenvolvedor,Degree,Betweenness,Closeness,PageRank
1,VRAutomatize,0.022378,0.000100,0.000466,0.011141
2,Arenaz3,0.002564,0.000000,0.000000,0.009835
3,JBdesarrollo,0.013520,0.000053,0.000622,0.003844
4,juancresc,0.004662,0.000066,0.000622,0.003203
5,rodrigo-ogioni,0.004196,0.000105,0.000699,0.002672
6,OscarAgent,0.005128,0.000000,0.000000,0.002063
7,BootecoBOot,0.007925,0.000000,0.000000,0.002039
8,vmssistemas,0.006061,0.000114,0.000746,0.001831
9,anirudhbagri,0.003263,0.000000,0.000000,0.001790
10,lokoquax,0.004662,0.000348,0.002280,0.001741
