Vertex,Desenvolvedor,Papel,Degree,Betweenness,Closeness,PageRank,Bridging Strength
320,BootecoBOot,Core,0.007925,0.0,0.0,0.002039,0.0
1910,s-marques,Core,0.005828,0.0,0.0,0.001318,0.0
1456,MauMauRobert,Core,0.004429,0.0,0.0,0.001103,0.0
1485,tiago18fap,Core,0.003497,0.0,0.0,0.001023,0.0
794,paulohenrique14,Core,0.001399,0.0,0.0,0.000912,0.0
1660,J-Pster,Core,0.001632,0.0,0.0,0.000785,0.0
675,Batt0sa1,Core,0.002564,0.0,0.0,0.000782,0.0
412,RelaxSolucoes,Core,0.003263,0.0,0.0,0.000767,0.0
1838,EnriqueGF,Core,0.002564,0.0,0.0,0.00072,0.0
1696,giordano221,Core,0.003263,0.0,0.0,0.000699,0.0
748,CGSobral,Core,0.000699,0.0,0.0,0.000682,0.0
1185,Raphaildest,Core,0.003263,0.0,0.0,0.000662,0.0
1032,josevitor676,Core,0.002797,0.0,0.0,0.000656,0.0
1473,Ryan03037,Core,0.001632,0.0,0.0,0.000644,0.0
872,salmeidagois,Core,0.002098,0.0,0.0,0.000608,0.0
668,olucastoledo,Core,0.002098,0.0,0.0,0.000592,0.0
372,flashanalytics-felipeaguiar,Core,0.002564,0.0,0.0,0.00056,0.0
1684,next4dev,Core,0.002098,0.0,0.0,0.000545,0.0
901,jacksonlcruz,Core,0.001166,0.0,0.0,0.000521,0.0
813,maysoncbn1-glitch,Core,0.002331,0.0,0.0,0.000517,0.0
1360,iphoneconsult,Core,0.000699,0.0,0.0,0.00049,0.0
1221,srpavani,Core,0.001632,0.0,0.0,0.000485,0.0
1448,HPleite01,Core,0.001632,0.0,0.0,0.000477,0.0
1892,fCaioRibeiro,Core,0.001865,0.0,0.0,0.000476,0.0
851,ddean6232,Core,0.001632,0.0,0.0,0.000445,0.0
256,LuizLobao,Core,0.002098,0.0,0.0,0.000444,0.0
1803,danjtprod13213,Core,0.001632,0.0,0.0,0.000427,0.0
172,Alfr3d022,Core,0.001632,0.0,0.0,0.000426,0.0
527,WesleyjanLacerda,Core,0.001399,0.0,0.0,0.000426,0.0
272,GustavoMimim,Core,0.001632,0.0,0.0,0.000412,0.0
568,brennersc,Core,0.001632,0.0,0.0,0.000402,0.0
1302,andressalvarez,Core,0.001632,0.0,0.0,0.000387,0.0
486,phroriz,Core,0.001865,0.0,0.0,0.000375,0.0
19,hilsoney1200-dotcom,Core,0.001166,0.0,0.0,0.000374,0.0
122,vianahub-pt,Core,0.001399,0.0,0.0,0.000367,0.0
1732,doryashar,Core,0.001166,0.0,0.0,0.000367,0.0
103,DiegoSalvati,Core,0.000932,0.0,0.0,0.000356,0.0
1350,lucasnp92,Core,0.001632,0.0,0.0,0.000355,0.0
43,ti613,Core,0.001865,0.0,0.0,0.000336,0.0
205,magnum1985,Core,0.001399,0.0,0.0,0.000323,0.0
1618,musemby,Core,0.001632,0.0,0.0,0.000319,0.0
745,douglasfranciscon,Core,0.001166,0.0,0.0,0.000317,0.0
1091,viegasozeias,Core,0.001399,0.0,0.0,0.000314,0.0
1233,CarlosSLoureiro,Core,0.000699,0.0,0.0,0.000309,0.0
1666,PedroReckelEL,Core,0.001166,0.0,0.0,0.000308,0.0
1825,moskoweb,Core,0.001166,0.0,0.0,0.000308,0.0
1900,RuanMD,Core,0.001166,0.0,0.0,0.000308,0.0
308,fernandosegrr,Core,0.001166,0.0,0.0,0.000298,0.0
444,Pedreiros22,Core,0.001166,0.0,0.0,0.000284,0.0
495,carola-m,Core,0.000932,0.0,0.0,0.000278,0.0
761,ricdemgtz,Core,0.000932,0.0,0.0,0.000278,0.0
893,FBrandex,Core,0.000932,0.0,0.0,0.000278,0.0
1143,jwcaceres78,Core,0.000932,0.0,0.0,0.000278,0.0
867,austriansnow,Core,0.000932,0.0,0.0,0.000268,0.0
389,nachotdl,Core,0.000932,0.0,0.0,0.000265,0.0
1722,rbernardes,Core,0.000932,0.0,0.0,0.000265,0.0
1087,almirb,Core,0.001166,0.0,0.0,0.000259,0.0
278,Bluteco,Core,0.000699,0.0,0.0,0.000248,0.0
729,Sarkozit,Core,0.000699,0.0,0.0,0.000248,0.0
1226,Tuphiq,Core,0.000932,0.0,0.0,0.000248,0.0
1726,armand087,Core,0.000932,0.0,0.0,0.000248,0.0
1862,UniVersos1,Core,0.000932,0.0,0.0,0.000248,0.0
653,dvmarthur,Core,0.000932,0.0,0.0,0.000244,0.0
1481,johnnybs2,Core,0.001166,0.0,0.0,0.000236,0.0
1430,ojauumdev,Core,0.000932,0.0,0.0,0.000229,0.0
907,rodolfocella,Core,0.000932,0.0,0.0,0.000228,0.0
1018,JorgeHRP,Core,0.000699,0.0,0.0,0.000224,0.0
1367,jaimenasser,Core,0.000932,0.0,0.0,0.000219,0.0
1499,Caous,Core,0.000932,0.0,0.0,0.000219,0.0
1694,braunericardo,Core,0.000699,0.0,0.0,0.000219,0.0
80,weblucianosoares-maker,Core,0.000699,0.0,0.0,0.000218,0.0
613,limadrops06-ui,Core,0.000699,0.0,0.0,0.000218,0.0
922,jotarodriguezv,Core,0.000699,0.0,0.0,0.000218,0.0
1182,radamesbispo,Core,0.000699,0.0,0.0,0.000211,0.0
926,wylken,Core,0.000932,0.0,0.0,0.000209,0.0
1150,jhonatantav,Core,0.000699,0.0,0.0,0.000209,0.0
685,DaviResDev,Core,0.000932,0.0,0.0,0.000207,0.0
885,leonardoFrizziFetchly,Core,0.000699,0.0,0.0,0.000201,0.0
599,lucianokatze,Core,0.000699,0.0,0.0,0.000199,0.0
770,miltonbastos,Core,0.000699,0.0,0.0,0.000199,0.0
1156,brunofelixbessa,Core,0.000699,0.0,0.0,0.000198,0.0
559,marquinhos2701,Core,0.000699,0.0,0.0,0.000195,0.0
595,oMaiaa,Core,0.000699,0.0,0.0,0.000195,0.0
694,lksdog,Core,0.000699,0.0,0.0,0.000189,0.0
1020,victorhugo-applicativa,Core,0.000699,0.0,0.0,0.000189,0.0
1207,JGabriel963,Core,0.000699,0.0,0.0,0.000189,0.0
1317,luisphtrindade,Core,0.000699,0.0,0.0,0.000189,0.0
1357,alebraso,Core,0.000699,0.0,0.0,0.000189,0.0
